ijs 0.35-7
imagemagick 7.1.2.31-1
imath 3.2.3-1
imv 5.0.1-2
inetutils 2.8-1
iniparser 4.2.6-2
inotify-tools 4.25.9.0-1
inxi 3.3.41.1-1
iproute2 7.2.0-1
iptables 1:1.8.13-1
iputils 20250605-1
iso-codes 4.20.1-1
iw 6.17-1
jansson 2.15.1-1
jasper 4.2.9-1
jbig2dec 0.20-1
jbigkit 2.1-8
jemalloc 1:5.3.1-3
jq 1.8.2-1
js140 140.15.0-1
json-c 0.19-1
json-glib 1.10.8-1
kaccounts-integration 26.08.1-1
karchive 6.30.0-1
kbd 2.10.0-1
kbookmarks 6.30.0-1
kcmutils 6.30.0-1
kcodecs 6.30.0-1
kcolorscheme 6.30.0-1
kcompletion 6.30.0-1
kconfig 6.30.0-1
kconfigwidgets 6.30.0-1
kcoreaddons 6.30.0-1
kcrash 6.30.0-1
kdbusaddons 6.30.0-1
kddockwidgets 2.4.1-1
kdenlive 26.08.1-1
kernel-modules-hook 0.1.7-3
keyutils 1.6.3-4
kfilemetadata 6.30.0-1
kglobalaccel 6.30.0-1
kguiaddons 6.30.0-1
ki18n 6.30.0-1
kiconthemes 6.30.0-1
kio 6.30.0-1
kirigami 6.30.0-1
kitemmodels 6.30.0-1
kitemviews 6.30.0-1
kjobwidgets 6.30.0-1
kmod 34.2-1
knewstuff 6.30.0-1
knotifications 6.30.0-1
knotifyconfig 6.30.0-1
kpackage 6.30.0-1
krb5 1.22.2-1
kservice 6.30.0-1
ktextwidgets 6.30.0-1
kwallet 6.30.0-1
kwidgetsaddons 6.30.0-1
kwindowsystem 6.30.0-1
kxmlgui 6.30.0-1
l-smash 2.14.5-4
lame 4.0-1
lapack 3.12.1-2
lazydocker 0.25.2-1
lazygit 0.65.1-1
lcms2 2.19.1-1
ldb 2:4.24.7-1
leancrypto 1.9.0-1
leptonica 1.87.0-2
less 1:704-1
libabw 0.1.4-1
libaccounts-glib 1.27-3
libaccounts-qt 1.17-2
libadwaita 1:1.9.4-1
libaec 1.1.7-1
libarchive 3.8.9-1
libasan 16.1.1+r12+g301eb08fa2c5-1
libass 0.17.5-1
libassuan 3.0.0-1
libasyncns 1:0.8+r3+g68cd5af-3
libatasmart 0.19-8
libatomic 16.1.1+r12+g301eb08fa2c5-1
libatomic_ops 7.8.2-2
libavc1394 0.5.4-7
libavif 1.4.2-1
libayatana-appindicator 0.6.0-2
libb2 0.98.1-3
libblake3 1.8.7-1
libblockdev 3.5.0-2
libblockdev-crypto 3.5.0-2
libblockdev-fs 3.5.0-2
libblockdev-loop 3.5.0-2
libblockdev-mdraid 3.5.0-2
libblockdev-nvme 3.5.0-2
libblockdev-part 3.5.0-2
libblockdev-smart 3.5.0-2
libblockdev-swap 3.5.0-2
libbluray 1.5.1-1
libbpf 1.7.0-1
libbs2b 3.1.0-10
libbsd 0.12.2-2
libbytesize 2.12-3
libcanberra 1:0.30+r2+gc0620e4-6
libcap 2.78-1
libcap-ng 0.9.6-1
libcdio 2.4.0-1
libcdio-paranoia 10.2+2.0.2-3
libcdr 0.1.9-1
libcgif 0.5.4-1
libcloudproviders 0.4.1-1
libcmis 0.6.3-2
libcolord 1.4.8-1
libcue 2.3.0-1
libcups 2:2.4.19-1
libcupsfilters 2.2.1-2
libdaemon 0.14-6
libdatrie 0.2.14-1
libdbusmenu-glib 18.10.20180917-2
libdbusmenu-gtk3 18.10.20180917-2
libdc1394 2.2.7-2
libde265 1.1.3-1
libdecor 0.2.5-1
libdeflate 1.26-1
libdisplay-info 0.3.0-1
libdovi 3.4.0-1
libdrm 2.4.134-1
libdvdnav 7.0.0-1
libdvdread 7.1.1-1
libdwarf 1:2.3.2-1
libe-book 0.1.4-1
libebur128 1.2.6-2
libedit 20260512_3.1-1
libei 1.6.0-1
libelf 0.196-1
libepoxy 1.5.10-3
libepubgen 0.1.1-6
libetonyek 0.1.13-3
libevdev 1.13.7-1
libevent 2.1.13-2
libexif 0.6.26-1
libexttextcat 3.4.8-1
libfdk-aac 2.0.3-2
libffi 3.8.0-1
libfontenc 1.1.9-1
libfreeaptx 0.2.2-1
libfreehand 0.1.3-1
libfyaml 0.9.6-3
libgcc 16.1.1+r12+g301eb08fa2c5-1
libgcrypt 1.12.4-1
libgfortran 16.1.1+r12+g301eb08fa2c5-1
libgirepository 1.86.0-2
libgit2 1:1.9.7-1
libglvnd 1.7.0-3
libgomp 16.1.1+r12+g301eb08fa2c5-1
libgpg-error 1.61-1
libgsf 1.14.58-1
libgudev 238-3
libgxps 0.3.2-5
libhandy 1.8.3-2
libheif 1.23.4-1
libice 1.1.2-1
libidn 1.44-1
libidn2 2.3.8-1
libiec61883 1.2.0-9
libimagequant 4.4.1-2
libimobiledevice 1.4.0-2
libimobiledevice-glue 1.3.2-1
libinih 62-2
libinput 1.31.3-1
libiptcdata 1.0.5-5
libisl 0.28-1
libixion 0.20.0-9
libjpeg-turbo 3.2.0-2
libjxl 0.12.0-1
libksba 1.8.1-1
liblangtag 0.6.8-1
liblc3 1.1.3-2
libldac 2.0.2.6-1
libldap 2.7.1-1
liblqr 0.4.3-1
liblsan 16.1.1+r12+g301eb08fa2c5-1
libluv 1.52.1-1
libmakepkg-dropins 20-2
libmanette 0.2.13-2
libmatio 1.5.30-1
libmd 1.2.0-1
libmm-glib 1.24.2-1
libmng 2.0.3-4
libmnl 1.0.5-2
libmodplug 0.8.9.0-7
libmpc 1.4.1-1
libmspub 0.1.5-1
libmtp 1.1.23-1
libmwaw 0.3.23-1
libmysofa 1.3.5-1
libnautilus-extension 50.3.1-1
libndp 1.9-1
libnetfilter_conntrack 1.1.1-1
libnewt 0.52.25-2
libnfnetlink 1.0.2-2
libnfs 6.0.2-5
libnftnl 1.3.2-1
libnghttp2 1.70.0-1
libnghttp3 1.18.0-1
libngtcp2 1.25.0-1
libnice 0.1.24-1
libnl 3.12.0-1
libnm 1.58.1-1
libnotify 0.8.8-1
libnsbmp 0.1.7-2
libnsgif 1.0.0-2
libnsl 2.0.1-2
libnumbertext 1.0.11-3
libnvme 1.16.2-2
libobjc 16.1.1+r12+g301eb08fa2c5-1
libodfgen 0.1.8-5
libogg 1.3.6-1
libopenmpt 0.8.9-1
liborcus 0.21.0-8
libosinfo 1.12.0-3
libp11-kit 0.26.5-1
libpagemaker 0.0.4-5
libpaper 2.2.8-1
libpathrs 0.2.6-1
libpcap 1.10.7-1
libpciaccess 0.19-1
libpgm 5.3.128-4
libpipeline 1.5.8-1
libpipewire 1:1.6.8-1
libplacebo 7.360.1-6
libplist 2.7.0-3
libpng 1.6.58-2
libportal 0.11.0-1
libportal-gtk4 0.11.0-1
libppd 2.1.1-2
libproxy 0.5.12-1
libpsl 0.21.5-2
libpulse 17.0+r98+gb096704c0-1
libpwquality 1.4.5-7
libquadmath 16.1.1+r12+g301eb08fa2c5-1
libqxp 0.0.3-1
libraqm 0.11.0-1
libraw 0.22.2-1
libraw1394 2.1.2-4
libreoffice-fresh 26.8.0-2
librevenge 0.0.6-1
librsvg 2:2.62.3-1
libsamplerate 0.2.2-3
libsasl 2.1.28-5
libseccomp 2.6.0-1
libsecret 0.21.7-1
libsixel 1.10.5-1
libsm 1.2.6-1
libsndfile 1.2.2-4
libsodium 1.0.22-1
libsoup3 3.6.6-2
libsoxr 0.1.3-5
libspectre 0.2.12-2
libssh 0.12.2-1
libssh2 1.11.1-7
libstaroffice 0.0.8-1
libstdc++ 16.1.1+r12+g301eb08fa2c5-1
libstemmer 3.1.1-1
libsynctex 2026.0-2
libsysprof-capture 50.0-6
libtasn1 4.21.0-1
libtatsu 1.0.5-1
libteam 1.32-3
libthai 0.1.30-1
libtheora 1.2.0-1
libtiff 4.7.2-1
libtirpc 1.3.8-1
libtommath 1.3.0-2
libtool 2.6.0+r23+gb08cb0a0-1
libtsan 16.1.1+r12+g301eb08fa2c5-1
libubsan 16.1.1+r12+g301eb08fa2c5-1
libunibreak 7.0-1
libunistring 1.4.2-1
libunwind 1.8.3-1
liburing 2.15-1
libusb 1.0.30-1
libusbmuxd 2.1.1-2
libutempter 1.2.3-1
libutf8proc 2.11.3-1
libuv 1.52.1-2
libva 2.24.1-1
libvdpau 1.5-4
libverto 0.3.2-6
libvips 8.18.6-1
libvisio 0.1.11-1
libvorbis 1.3.7-4
libvpx 1.17.0-1
libvterm 0.3.3-2
libwacom 2.20.0-1
libwbclient 2:4.24.7-1
libwebp 1.6.0-2
libwireplumber 0.5.17-1
libwpd 0.10.3-6
libwps 0.4.14-4
libx11 1.8.13-1
libxau 1.0.12-1
libxcb 1.17.0-1
libxcomposite 0.4.7-1
libxcrypt 4.5.2-1
libxcursor 1.2.3-1
libxcvt 0.1.3-1
libxdamage 1.1.7-1
libxdmcp 1.1.5-2
libxext 1.3.7-1
libxfixes 6.0.2-1
libxfont2 2.0.9-1
libxft 2.3.9-1
libxi 1.8.3-1
libxinerama 1.1.6-1
libxkbcommon 1.13.2-1
libxkbcommon-x11 1.13.2-1
libxkbfile 1.2.0-1
libxml2 2.15.4-1
libxmlb 0.3.29-1
libxmu 1.3.1-1
libxpresent 1.0.2-1
libxrandr 1.5.5-1
libxrender 0.9.12-1
libxshmfence 1.3.3-1
libxslt 1.1.45-2
libxss 1.2.5-1
libxt 1.3.1-1
libxtst 1.2.5-1
libxv 1.0.13-1
libxxf86vm 1.1.7-1
libyaml 0.2.5-3
libyuv r2921+644251f25-1
libzip 1.11.4-1
libzmf 0.0.2-20
licenses 20240728-1
lilv 0.28.0-1
limine 12.9.0-1
limine-mkinitcpio-hook 1.38.0-2.2
limine-snapper-sync 1.31.0-1
linux-aarch64 7.2.6-1
linux-api-headers 7.2-1
llhttp 9.3.1-1
llvm 22.1.8-2
llvm-libs 22.1.8-2
lm_sensors 1:3.6.2-1
lmdb 0.9.35-1
localsearch 3.11.2-1
localsend 1.18.2-1
lpsolve 5.5.2.14-1
lua 5.5.1-1
lua-luarocks 3.13.0-5
lua51 5.1.5-13
lua51-lpeg 1.1.0-5
lua54 5.4.9-1
luajit 2.1.1788856981+c6ffc14-1
luarocks 3.13.0-5
lv2 1.18.10-2
lz4 1:1.10.0-2
lzo 2.10-5
man-db 2.13.1-2
mariadb-libs 12.3.3-2
md4c 0.5.3-1
mdadm 4.6-2
media-player-info 26-1
mesa 1:26.2.2-1
minizip 1:1.3.2-3
mise-bin 2026.8.15-1
mkinitcpio 42-1
mkinitcpio-busybox 1.36.1-1
mlt 7.40.0-3
mobile-broadband-provider-info 20251101-1
moonlight-qt 6.1.0-7
mpdecimal 4.0.1-3
mpfr 4.2.2-1
mpg123 1.33.7-1
mpv 1:0.41.0-6
mpv-mpris 1.2-2
msgpack-c 7.0.1-1
mtdev 1.1.7-1
mujs 1.3.9-1
muparser 2.3.5-2
nautilus 50.3.1-1
nautilus-python 4.1.0-3
ncurses 6.6-2
neon 0.37.1-1
neovim 0.12.5-1
nettle 4.0-1
networkmanager 1.58.1-1
nftables 1:1.1.7-3
noto-fonts 1:2026.09.01-1
noto-fonts-cjk 20240730-1
noto-fonts-emoji 1:2.051-1
npth 1.8-1
nspr 4.40-1
nss 3.129-1
nss-mdns 0.15.1-2
numactl 2.0.19-1
obsidian 1.13.7-2
ocl-icd 2.3.5-1
omacalc 0.2.2-1
omacut 0.4.0-1
omarchy 4.0.3-1
omarchy-aarch64-config 1-2
omarchy-aarch64-keyring 20260826-1
omarchy-keyring 20251027-1
omarchy-nvim 2026.8.13-1
omarchy-settings 4.0.3-1
omarchy-spice-guest-tools 0.1.4-1
omawrite 0.5.0-1
onetbb 2023.1.0-1
oniguruma 6.9.10-1
openal 1.25.2-2
opencore-amr 0.1.6-2
opencv 5.0.0-10
openexr 3.4.15-1
openh264 2.6.0-2
openjpeg2 2.5.4-1
openjph 0.31.0-1
openssh 10.5p1-1
openssl 3.6.4-1
opentimelineio 0.18.1-3
opus 1.6.1-1
orc 0.4.44-1
osinfo-db 20260812-1
p11-kit 0.26.5-1
pacman 7.1.0.r9.g54d9411-2
pacman-contrib 1.13.1-1
pacman-mirrorlist 20260411-2
pam 1.7.2-2
pambase 20260616-1
pamixer 1.6-3
pango 1:1.58.2-1
parted 3.7-1
pciutils 3.15.0-1
pcre 8.45-5
pcre2 10.48-1
pcsclite 2.5.1-1
pdfio 1.6.5-1
perl 5.42.2-2
perl-error 0.17030-3
perl-mailtools 2.22-3
perl-timedate 2.35-1
pinentry 1.3.3-1
pinta 3.1.2-2
pipewire 1:1.6.8-1
pipewire-alsa 1:1.6.8-1
pipewire-audio 1:1.6.8-1
pipewire-jack 1:1.6.8-1
pipewire-pulse 1:1.6.8-1
pixman 0.46.4-1.1
plocate 1.1.25-1
plymouth 26.134.222-2
polkit 127-3
poppler 26.08.0-1
poppler-data 0.4.12-2
poppler-glib 26.08.0-1
poppler-qt6 26.08.0-1
popt 1.19-2
portaudio 1:19.7.0-4
postgresql-libs 18.6-1
power-profiles-daemon 0.30-1
procps-ng 4.0.7-1
protobuf 36.1-1
psmisc 23.7-2
pugixml 1.16-1
purpose 6.30.0-1
python 3.14.7-1
python-aaf2 1.7.1-4
python-cairo 1.29.1-1
python-certifi 2026.07.22-1
python-charset-normalizer 3.5.1-1
python-colorama 0.4.6-6
python-dbus 1.4.0-2
python-docopt 0.6.2-15
python-fastjsonschema 2.21.2-2
python-gobject 3.56.3-1
python-idna 3.19-1
python-lark-parser 1.3.1-2
python-packaging 26.3-1
python-poetry-core 2.4.1-1
python-pycups 2.0.4-4
python-pyxdg 0.28-7
python-requests 2.34.2-1
python-shtab 1.12.1-1
python-termcolor 3.3.0-1
python-typing_extensions 4.16.0-1
python-urllib3 2.7.0-1
python-yaml 6.0.3-2
qca-qt6 2.3.12-1
qemu-guest-agent 11.1.1-2
qoi r350.4461cc3-1
qpdf 12.4.1-1
qqc2-desktop-style 6.30.0-1
qrencode 4.1.1-4
qt6-5compat 6.11.2-1
qt6-base 6.11.2-3
qt6-declarative 6.11.2-2
qt6-imageformats 6.11.2-1
qt6-multimedia 6.11.2-1
qt6-multimedia-ffmpeg 6.11.2-1
qt6-networkauth 6.11.2-1
qt6-positioning 6.11.2-1
qt6-shadertools 6.11.2-1
qt6-speech 6.11.2-1
qt6-svg 6.11.2-1
qt6-translations 6.11.2-1
qt6-wayland 6.11.2-1
qt6-webchannel 6.11.2-1
qt6-webengine 6.11.2-1
quickshell 0.3.1-1
raptor 2.0.16-9
rasqal 1:0.9.33-9
rav1e 0.8.1-3
re2 2:2025.11.05-6
readline 8.3.003-1
redland 1:1.0.17-10
ripgrep 15.2.0-1
rsync 3.5.0-1
rubberband 4.0.0-2
ruby 3.4.10-1
rubygems 3.6.9-1
runc 1.5.1-1
sbc 2.2-1
sdbus-cpp 2.3.1-1
sddm 0.21.0-7
sdl2-compat 2.32.72-1
sdl2_ttf 2.24.0-2
sdl3 3.4.16-1
seatd 0.9.3-1
sed 4.10-2
serd 0.32.10-1
shaderc 2026.3-1
shadow 4.20.0.arch1-1
shared-mime-info 2.5.1-2
signon-kwallet-extension 26.08.1-1
signon-plugin-oauth2 0.25-4
signon-ui 0.17+20231016-4
signond 8.61-3
slang 2.3.3-4
slurp 1.5.0-2
smbclient 2:4.24.7-1
snapper 0.13.1-3
snappy 1.2.2-3
sndio 1.10.0-1
socat 1.8.1.3-1
solid 6.30.0-1
sonnet 6.30.0-1
sord 0.16.22-1
sound-theme-freedesktop 0.8-6
spandsp 0.0.6-7
spdlog 1.17.0-2
speex 1.2.1-2
speexdsp 1.2.1-2
spice-vdagent 0.23.0-1
spirv-tools 1:1.4.357.0-1
sqlite 3.53.4-1
sratom 0.6.22-1
srt 1.5.7-1
starship 1.26.0-1
sudo 1.9.17.p2-6
sushi 50.0-1
syndication 6.30.0-1
system-config-printer 1.5.18-7
systemd 261.3-1
systemd-libs 261.3-1
systemd-sysvcompat 261.3-1
taglib 2.3.2-1
talloc 2.5.0-2
tar 1.35-5
tdb 1.4.15-2
tensaku 0.28.0-2.1
tesseract 5.5.3-1
tesseract-data-eng 2:4.1.0-5
tesseract-data-osd 2:4.1.0-5
tevent 1:0.17.2-2
tinysparql 3.11.1-1
tldr 3.4.4-1
tmux 3.7_c-1
tobi-try 1.8.1-3
tomlplusplus 3.4.0-1
totem-pl-parser 3.26.7-1
tpm2-tss 4.2.0-2
tree-sitter 0.26.9-1
tree-sitter-c 0.24.1-2
tree-sitter-cli 0.26.9-1
tree-sitter-lua 0.5.0-3
tree-sitter-markdown 0.5.3-2
tree-sitter-query 0.8.0-2
tree-sitter-vim 0.8.1-3
tree-sitter-vimdoc 4.1.0-2
tslib 1.24-1
ttf-ia-writer 20181225-1
ttf-jetbrains-mono-nerd-basic 3.5.0-1
ttf-liberation 2.1.5-2
ttfx 0.3.2-1
tzdata 2026d-1
tzupdate 3.1.0-2.1
uchardet 0.0.8-4
udiskie 2.7.0-2
udisks2 2.11.2-1
ufw 0.36.2-7
ufw-docker 251123-1
unibilium 2.1.4-1
unzip 6.0-23
upower 1.91.4-1
usage 5.1.0-1
util-linux 2.42.3-1
util-linux-libs 2.42.3-1
uwsm 0.26.7-1
v4l-utils 1.32.0-2
vapoursynth 79-1
verdict 1.4.5-2
vid.stab 1.1.2-1
vmaf 3.2.0-1
volume_key 0.3.12-12
vulkan-icd-loader 1.4.357.0-1
vulkan-mesa-implicit-layers 1:26.2.2-1
vulkan-swrast 1:26.2.2-1
vulkan-virtio 1:26.2.2-1
wayland 1.26.0-1
wayland-protocols 1.49-1
webkit2gtk-4.1 2.52.6-1
webp-pixbuf-loader 0.2.7-2
webrtc-audio-processing-1 1.3-5
which 2.25-1
whois 5.6.6-1
wireless-regdb 2026.09.03-1
wireplumber 0.5.17-1
wl-clipboard 1:2.3.0-1
woff2 1.0.2-6
woff2-font-awesome 7.3.1-1
wpa_supplicant 2:2.12-1
wtype 0.4-2
x264 3:0.165.r3222.b35605a-2
x265 4.3-1
xcb-imdkit 1.0.9-1
xcb-proto 1.17.0-4
xcb-util 0.4.1-2
xcb-util-cursor 0.1.6-1
xcb-util-errors 1.0.1-2
xcb-util-image 0.4.1-3
xcb-util-keysyms 0.4.1-5
xcb-util-renderutil 0.3.10-2
xcb-util-wm 0.4.2-2
xclip 0.13-6
xdg-dbus-proxy 0.1.8-1
xdg-desktop-portal 1.22.1-2
xdg-desktop-portal-gtk 1.15.3-1
xdg-desktop-portal-hyprland 1.4.1-2
xdg-terminal-exec 0.14.3-1
xdg-user-dirs 0.20-1
xdg-user-dirs-gtk 0.16-1
xdg-utils 1.2.1-2
xf86-input-libinput 1.5.0-1
xkeyboard-config 2.48-1
xmlsec 1.3.12-1
xorg-fonts-encodings 1.1.0-2
xorg-server 21.1.24-1
xorg-server-common 21.1.24-1
xorg-setxkbmap 1.3.5-1
xorg-xauth 1.1.5-1
xorg-xkbcomp 1.5.0-1
xorg-xprop 1.2.8-1
